ds,y
2023-06-04,22.555898
2023-06-05,22.78808
2023-06-06,23.470122
2023-06-07,24.948209
2023-06-08,25.342553
2023-06-09,25.190441
2023-06-10,25.190441
2023-06-11,25.426249
2023-06-12,25.469908
2023-06-13,25.508959
2023-06-14,25.560028
2023-06-15,25.892667
2023-06-16,25.889618
2023-06-17,25.889618
2023-06-18,25.768282
2023-06-19,25.784348
2023-06-20,25.746226
2023-06-21,25.892186
2023-06-22,27.273764
2023-06-23,27.616883
2023-06-24,27.631384
2023-06-25,27.617839
2023-06-26,28.476169
2023-06-27,28.525292
2023-06-28,28.443018
2023-06-29,28.303333
2023-06-30,28.438504000000002
2023-07-01,28.438504000000002
2023-07-02,28.079399
2023-07-03,28.230396
2023-07-04,28.276234
2023-07-05,28.322379
2023-07-06,28.45826
2023-07-07,28.599744
2023-07-08,28.599744
2023-07-09,28.674807
2023-07-10,28.762217
2023-07-11,28.762263
2023-07-12,29.198949
2023-07-13,29.249855
2023-07-14,29.432932
2023-07-15,29.432932
2023-07-16,29.477012
2023-07-17,29.651918
2023-07-18,30.264332
2023-07-19,30.058101
2023-07-20,29.906198
2023-07-21,30.031078
2023-07-22,30.032488
2023-07-23,29.989522
2023-07-24,29.841245
2023-07-25,29.756568
2023-07-26,29.834614
2023-07-27,29.597777
2023-07-28,29.697498
2023-07-29,29.697498
2023-07-30,29.674043
2023-07-31,29.636518
2023-08-01,29.693653
2023-08-02,29.62521
